42;7.69231;5.2532;
50;28.2051;5.12452;
44;12.8205;5.15847;
42;7.69231;5.15294;
44;12.8205;5.17189;
50;28.2051;5.32939;
42;7.69231;6.63361;
39;0;5.06768;
40;2.5641;4.61215;
50;28.2051;3.07897;
41;5.12821;3.06121;
39;0;3.09397;
42;7.69231;3.06082;
42;7.69231;3.44529;
39;0;3.10226;
40;2.5641;3.32253;
41;5.12821;3.06792;
50;28.2051;3.08095;
41;5.12821;3.12161;
40;2.5641;3.31503;
39;0;3.09161;
42;7.69231;3.11095;
60;53.8462;3.20055;
39;0;4.0978;
39;0;4.04609;
39;0;3.05253;
42;7.69231;3.07345;
39;0;3.10069;
42;7.69231;4.1424;
40;2.5641;4.84228;
